Attendance_ID,Fellow_ID,Fellow_ID  (from Fellow_ID),Session,Year_of _imp,Date,School_ID,School_ID  (from School_ID),Supervisor_ID,Supervisor_ID (from Supervisor_ID),Attendance,absence_reason,Payment Initiated
TFW23_S_027_ANS23_School_1_Session0_45061,TFW23_S_027,TFW23_S_027,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_041_ANS23_School_1_Session0_45061,TFW23_S_041,TFW23_S_041,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_006_ANS23_School_1_Session0_45061,TFW23_S_006,TFW23_S_006,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_056_ANS23_School_1_Session0_45061,TFW23_S_056,TFW23_S_056,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_002_ANS23_School_1_Session0_45061,TFW23_S_002,TFW23_S_002,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_033_ANS23_School_1_Session0_45061,TFW23_S_033,TFW23_S_033,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_064_ANS23_School_1_Session0_45061,TFW23_S_064,TFW23_S_064,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_035_ANS23_School_1_Session0_45061,TFW23_S_035,TFW23_S_035,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_053_ANS23_School_1_Session0_45061,TFW23_S_053,TFW23_S_053,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_030_ANS23_School_1_Session0_45061,TFW23_S_030,TFW23_S_030,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_039_ANS23_School_1_Session0_45061,TFW23_S_039,TFW23_S_039,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_040_ANS23_School_1_Session0_45061,TFW23_S_040,TFW23_S_040,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_069_ANS23_School_1_Session0_45061,TFW23_S_069,TFW23_S_069,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_037_ANS23_School_1_Session0_45061,TFW23_S_037,TFW23_S_037,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_003_ANS23_School_1_Session0_45061,TFW23_S_003,TFW23_S_003,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_029_ANS23_School_1_Session0_45061,TFW23_S_029,TFW23_S_029,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,,,
TFW23_S_044_ANS23_School_1_Session0_45061,TFW23_S_044,TFW23_S_044,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_062_ANS23_School_1_Session0_45061,TFW23_S_062,TFW23_S_062,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_061_ANS23_School_1_Session0_45061,TFW23_S_061,TFW23_S_061,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_055_ANS23_School_1_Session0_45061,TFW23_S_055,TFW23_S_055,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_020_ANS23_School_1_Session0_45061,TFW23_S_020,TFW23_S_020,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_049_ANS23_School_1_Session0_45061,TFW23_S_049,TFW23_S_049,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_068_ANS23_School_1_Session0_45061,TFW23_S_068,TFW23_S_068,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_009_ANS23_School_1_Session0_45061,TFW23_S_009,TFW23_S_009,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_010_ANS23_School_1_Session0_45061,TFW23_S_010,TFW23_S_010,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_028_ANS23_School_1_Session0_45061,TFW23_S_028,TFW23_S_028,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_08,SPV23_S_08,checked,,
TFW23_S_045_ANS23_School_1_Session0_45061,TFW23_S_045,TFW23_S_045,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_034_ANS23_School_1_Session0_45061,TFW23_S_034,TFW23_S_034,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_059_ANS23_School_1_Session0_45061,TFW23_S_059,TFW23_S_059,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_013_ANS23_School_1_Session0_45061,TFW23_S_013,TFW23_S_013,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_005_ANS23_School_1_Session0_45061,TFW23_S_005,TFW23_S_005,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_051_ANS23_School_1_Session0_45061,TFW23_S_051,TFW23_S_051,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_047_ANS23_School_1_Session0_45061,TFW23_S_047,TFW23_S_047,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_018_ANS23_School_1_Session0_45061,TFW23_S_018,TFW23_S_018,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_001_ANS23_School_1_Session0_45061,TFW23_S_001,TFW23_S_001,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_060_ANS23_School_1_Session0_45061,TFW23_S_060,TFW23_S_060,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_24,SPV23_S_24,,,
TFW23_S_004_ANS23_School_1_Session0_45061,TFW23_S_004,TFW23_S_004,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_32,SPV23_S_32,checked,,
TFW23_S_038_ANS23_School_1_Session0_45061,TFW23_S_038,TFW23_S_038,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_25,SPV23_S_25,,,
TFW23_S_067_ANS23_School_1_Session0_45061,TFW23_S_067,TFW23_S_067,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_30,SPV23_S_30,,,
TFW23_S_012_ANS23_School_1_Session0_45061,TFW23_S_012,TFW23_S_012,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
TFW23_S_043_ANS23_School_1_Session0_45061,TFW23_S_043,TFW23_S_043,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_046_ANS23_School_1_Session0_45061,TFW23_S_046,TFW23_S_046,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_40,SPV23_S_40,,,
TFW23_S_019_ANS23_School_1_Session0_45061,TFW23_S_019,TFW23_S_019,0,2023,15/5/2023,ANS23_School_1,ANS23_School_1,SPV23_S_04,SPV23_S_04,checked,,
